,alias,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url
10,burger-town-chicago,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'fooddeliveryservices', 'title': 'Food Delivery Services'}]","{'longitude': -87.690559, 'latitude': 42.017465}",(773) 465-0087,142.3581558339782,yiZN_TX1zeHZnnOOhg-wyQ,,False,"{'zip_code': '60645', 'state': 'IL', 'country': 'US', 'display_address': ['Chicago, IL 60645'], 'address3': None, 'address1': '', 'address2': None, 'city': 'Chicago'}",Burger Town,+17734650087,,1.0,1,['delivery'],https://www.yelp.com/biz/burger-town-chicago?adjust_creative=dW4zIQkrq-ERae-qzQFP8g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dW4zIQkrq-ERae-qzQFP8g
11,starbucks-chicago-324,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'longitude': -87.67457, 'latitude': 42.017536}",(773) 274-1287,15.875375489415603,lCl34GI0qmrVLd98pQoYVg,https://s3-media3.fl.yelpcdn.com/bphoto/tHl8I2VMNBo_W4dnFc2Osg/o.jpg,False,"{'zip_code': '60626', 'state': 'IL', 'country': 'US', 'display_address': ['1763 W Howard', 'Jewel Osco @ Chicago #3538', 'Chicago, IL 60626'], 'address3': 'Jewel Osco @ Chicago #3538', 'address1': '1763 W Howard', 'address2': '', 'city': 'Chicago'}",Starbucks,+17732741287,$,2.0,10,['delivery'],https://www.yelp.com/biz/starbucks-chicago-324?adjust_creative=dW4zIQkrq-ERae-qzQFP8g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dW4zIQkrq-ERae-qzQFP8g
12,burger-king-chicago-63,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'burgers', 'title': 'Burgers'}]","{'longitude': -87.6756696306885, 'latitude': 42.0183815778023}",,145.22984321352402,nOSJP43DEB-2vXos3CNo6w,https://s3-media3.fl.yelpcdn.com/bphoto/ZsGp5G1X4SCkOiD3jXhZ1A/o.jpg,False,"{'zip_code': '60626', 'state': 'IL', 'country': 'US', 'display_address': ['7523 N Clark St', 'Chicago, IL 60626'], 'address3': '', 'address1': '7523 N Clark St', 'address2': '', 'city': 'Chicago'}",Burger King,,$,2.0,21,['delivery'],https://www.yelp.com/biz/burger-king-chicago-63?adjust_creative=dW4zIQkrq-ERae-qzQFP8g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dW4zIQkrq-ERae-qzQFP8g
13,r-public-house-chicago,"[{'alias': 'beerbar', 'title': 'Beer Bar'}, {'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]","{'longitude': -87.66857, 'latitude': 42.016348}",(872) 208-7916,171.5987610950031,gmwPUKf6fL2QNRlt3t1zIQ,https://s3-media2.fl.yelpcdn.com/bphoto/U93vFxa3HxrkZHGLj6LJTA/o.jpg,False,"{'zip_code': '60626', 'state': 'IL', 'country': 'US', 'display_address': ['1508 W Jarvis Ave', 'Chicago, IL 60626'], 'address3': '', 'address1': '1508 W Jarvis Ave', 'address2': '', 'city': 'Chicago'}",R Public House,+18722087916,$$,4.0,265,"['delivery', 'pickup']",https://www.yelp.com/biz/r-public-house-chicago?adjust_creative=dW4zIQkrq-ERae-qzQFP8g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dW4zIQkrq-ERae-qzQFP8g
14,charmers-cafe-chicago-4,"[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]","{'longitude': -87.66838, 'latitude': 42.01635}",(773) 743-2233,172.16678333771367,GwQ88sbGm7K1Dnx_qgmt8Q,https://s3-media2.fl.yelpcdn.com/bphoto/BxYDp7G7C0_HC-bbOIb9fw/o.jpg,False,"{'zip_code': '60626', 'state': 'IL', 'country': 'US', 'display_address': ['1500 W Jarvis Ave', 'Chicago, IL 60626'], 'address3': '', 'address1': '1500 W Jarvis Ave', 'address2': '', 'city': 'Chicago'}",Charmers Cafe,+17737432233,$,4.5,63,"['delivery', 'pickup']",https://www.yelp.com/biz/charmers-cafe-chicago-4?adjust_creative=dW4zIQkrq-ERae-qzQFP8g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dW4zIQkrq-ERae-qzQFP8g
15,poitin-stil-chicago,"[{'alias': 'pubs', 'title': 'Pubs'}]","{'longitude': -87.6684195, 'latitude': 42.0161631}",(773) 338-3285,173.84936923063117,QcA0rIL-su8myzNbVDrx0A,https://s3-media1.fl.yelpcdn.com/bphoto/j_g2d1Ep67ZjEaCWd_LxGw/o.jpg,False,"{'zip_code': '60626', 'state': 'IL', 'country': 'US', 'display_address': ['1502 W Jarvis Ave', 'Chicago, IL 60626'], 'address3': '', 'address1': '1502 W Jarvis Ave', 'address2': '', 'city': 'Chicago'}",Poitin Stil,+17733383285,$,3.5,49,['delivery'],https://www.yelp.com/biz/poitin-stil-chicago?adjust_creative=dW4zIQkrq-ERae-qzQFP8g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dW4zIQkrq-ERae-qzQFP8g
16,casa-san-juan-palos-heights-3,"[{'alias': 'mexican', 'title': 'Mexican'}]","{'longitude': -87.777842, 'latitude': 41.646873}",(708) 577-4227,100.58378129685636,mNQHa3HU_AfgcAhKwkrVyQ,https://s3-media3.fl.yelpcdn.com/bphoto/0G4bXzJq66BTN8SiwK3qyw/o.jpg,False,"{'zip_code': '60463', 'state': 'IL', 'country': 'US', 'display_address': ['13440 S Ridgeland Ave', 'Palos Heights, IL 60463'], 'address3': '', 'address1': '13440 S Ridgeland Ave', 'address2': None, 'city': 'Palos Heights'}",Casa San Juan,+17085774227,$$,4.5,43,['delivery'],https://www.yelp.com/biz/casa-san-juan-palos-heights-3?adjust_creative=dW4zIQkrq-ERae-qzQFP8g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dW4zIQkrq-ERae-qzQFP8g
17,7-eleven-palos-heights,"[{'alias': 'convenience', 'title': 'Convenience Stores'}, {'alias': 'servicestations', 'title': 'Gas Stations'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'longitude': -87.7763491, 'latitude': 41.6469654}",(708) 489-1854,125.58145523908512,Bgxto5GcHPUBLF3xbsCIEg,,False,"{'zip_code': '60463', 'state': 'IL', 'country': 'US', 'display_address': ['6350 W 135th St', 'Palos Heights, IL 60463'], 'address3': None, 'address1': '6350 W 135th St', 'address2': '', 'city': 'Palos Heights'}",7-Eleven,+17084891854,$,3.5,3,"['pickup', 'delivery']",https://www.yelp.com/biz/7-eleven-palos-heights?adjust_creative=dW4zIQkrq-ERae-qzQFP8g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dW4zIQkrq-ERae-qzQFP8g
18,milettes-cakes-plainfield,"[{'alias': 'cupcakes', 'title': 'Cupcakes'}, {'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'customcakes', 'title': 'Custom Cakes'}]","{'longitude': -88.20456, 'latitude': 41.60858}",(815) 254-5177,38735.70237031799,fCZwvjxrT8MOlEjmLyQkgw,https://s3-media4.fl.yelpcdn.com/bphoto/l_3v4XE4_IV8vjqvDyG7Fw/o.jpg,False,"{'zip_code': '60544', 'state': 'IL', 'country': 'US', 'display_address': ['24042 W Lockport St', 'Plainfield, IL 60544'], 'address3': '', 'address1': '24042 W Lockport St', 'address2': '', 'city': 'Plainfield'}",Milette's Cakes,+18152545177,$$,4.5,86,[],https://www.yelp.com/biz/milettes-cakes-plainfield?adjust_creative=dW4zIQkrq-ERae-qzQFP8g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dW4zIQkrq-ERae-qzQFP8g
19,phlavz-chicago,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'salad', 'title': 'Salad'}, {'alias': 'tacos', 'title': 'Tacos'}]","{'longitude': -87.6457957, 'latitude': 41.8645752}",(773) 717-7979,25550.091280093337,mURSQLUlDyDGqE5ea5RrkQ,https://s3-media4.fl.yelpcdn.com/bphoto/2U2hESRZwXNS0sxyOqm8pg/o.jpg,False,"{'zip_code': '60607', 'state': 'IL', 'country': 'US', 'display_address': ['717 W Maxwell St', 'Chicago, IL 60607'], 'address3': None, 'address1': '717 W Maxwell St', 'address2': None, 'city': 'Chicago'}",Phlavz,+17737177979,$$,3.5,68,"['delivery', 'pickup']",https://www.yelp.com/biz/phlavz-chicago?adjust_creative=dW4zIQkrq-ERae-qzQFP8g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dW4zIQkrq-ERae-qzQFP8g
20,ms-tittles-cupcakes-chicago,"[{'alias': 'cupcakes', 'title': 'Cupcakes'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}]","{'longitude': -87.682446, 'latitude': 41.887846}",(773) 270-1755,27313.50178391122,9aKyMoEHCkq1cQwgaUADrQ,https://s3-media1.fl.yelpcdn.com/bphoto/xFLcJYmEOXqWR2tK4FgorQ/o.jpg,False,"{'zip_code': '60612', 'state': 'IL', 'country': 'US', 'display_address': ['324 N Leavitt St', 'Ste 100', 'Chicago, IL 60612'], 'address3': '', 'address1': '324 N Leavitt St', 'address2': 'Ste 100', 'city': 'Chicago'}",Ms Tittle's Cupcakes,+17732701755,$,4.5,12,[],https://www.yelp.com/biz/ms-tittles-cupcakes-chicago?adjust_creative=dW4zIQkrq-ERae-qzQFP8g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dW4zIQkrq-ERae-qzQFP8g
21,windy-city-ice-cream-alsip,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]","{'longitude': -87.7794843, 'latitude': 41.704993}",(708) 529-8875,7279.8478754367,0zehmQpDeJkZJGSgLVdeSg,https://s3-media2.fl.yelpcdn.com/bphoto/vdhwA4WIxQ1BW3fDSCl8tw/o.jpg,False,"{'zip_code': '60415', 'state': 'IL', 'country': 'US', 'display_address': ['11641 Ridgeland Ave', 'Alsip, IL 60415'], 'address3': '', 'address1': '11641 Ridgeland Ave', 'address2': None, 'city': 'Alsip'}",Windy City Ice Cream,+17085298875,,4.5,7,[],https://www.yelp.com/biz/windy-city-ice-cream-alsip?adjust_creative=dW4zIQkrq-ERae-qzQFP8g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dW4zIQkrq-ERae-qzQFP8g
22,kapsa-monument-downers-grove,"[{'alias': 'funeralservices', 'title': 'Funeral Services & Cemeteries'}, {'alias': 'stonemasons', 'title': 'Stonemasons'}, {'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}]","{'longitude': -87.9943685, 'latitude': 41.796683}",(630) 969-3120,26867.28863617926,YqFhbDepks5LXrH3hqdpbA,https://s3-media3.fl.yelpcdn.com/bphoto/iLPOmkQPVBLeo8j6_q3uFw/o.jpg,False,"{'zip_code': '60515', 'state': 'IL', 'country': 'US', 'display_address': ['4959 Fairview Ave', 'Downers Grove, IL 60515'], 'address3': '', 'address1': '4959 Fairview Ave', 'address2': '', 'city': 'Downers Grove'}",Kapsa Monument,+16309693120,,4.0,4,[],https://www.yelp.com/biz/kapsa-monument-downers-grove?adjust_creative=dW4zIQkrq-ERae-qzQFP8g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dW4zIQkrq-ERae-qzQFP8g
23,the-brazen-head-crestwood,"[{'alias': 'pubs', 'title': 'Pubs'}]","{'longitude': -87.73872, 'latitude': 41.6455399}",(708) 388-8862,96.04389456753158,MV-GHQSDHqU9RuDFhuHJXg,https://s3-media4.fl.yelpcdn.com/bphoto/aLRtsWE1YteLw9u3HfY9zA/o.jpg,False,"{'zip_code': '60445', 'state': 'IL', 'country': 'US', 'display_address': ['13602 S Cicero', 'Crestwood, IL 60445'], 'address3': '', 'address1': '13602 S Cicero', 'address2': '', 'city': 'Crestwood'}",The Brazen Head,+17083888862,$$,4.5,16,[],https://www.yelp.com/biz/the-brazen-head-crestwood?adjust_creative=dW4zIQkrq-ERae-qzQFP8g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dW4zIQkrq-ERae-qzQFP8g
24,panda-express-crestwood,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]","{'longitude': -87.7374485392732, 'latitude': 41.6458822595979}",(708) 389-7869,26.750793848223672,1NEKuiYXtywMTz2qBmvp2A,https://s3-media2.fl.yelpcdn.com/bphoto/2EYqeuhVDi4d1gXZsGJltA/o.jpg,False,"{'zip_code': '60445', 'state': 'IL', 'country': 'US', 'display_address': ['13581 S Cicero Ave', 'Crestwood, IL 60445'], 'address3': None, 'address1': '13581 S Cicero Ave', 'address2': None, 'city': 'Crestwood'}",Panda Express,+17083897869,$$,2.5,23,"['delivery', 'pickup']",https://www.yelp.com/biz/panda-express-crestwood?adjust_creative=dW4zIQkrq-ERae-qzQFP8g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dW4zIQkrq-ERae-qzQFP8g
25,little-caesars-pizza-crestwood-5,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]","{'longitude': -87.7371484978352, 'latitude': 41.6465746574508}",(708) 396-8571,64.50653731069096,OJImNI-0ddidoA4fXHyXhw,https://s3-media2.fl.yelpcdn.com/bphoto/qDqRj80BB_NQUEClBn6vWA/o.jpg,False,"{'zip_code': '60445', 'state': 'IL', 'country': 'US', 'display_address': ['13541 Cicero', 'Crestwood, IL 60445'], 'address3': None, 'address1': '13541 Cicero', 'address2': None, 'city': 'Crestwood'}",Little Caesars Pizza,+17083968571,$,2.0,30,[],https://www.yelp.com/biz/little-caesars-pizza-crestwood-5?adjust_creative=dW4zIQkrq-ERae-qzQFP8g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dW4zIQkrq-ERae-qzQFP8g
26,popeyes-louisiana-kitchen-crestwood,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]","{'longitude': -87.73736, 'latitude': 41.644753}",(708) 629-0026,150.78370250462362,nAo2i5D08eYYfazyhueCpA,https://s3-media3.fl.yelpcdn.com/bphoto/9zpxJFkcQZ3dzvLNK03ulA/o.jpg,False,"{'zip_code': '60445', 'state': 'IL', 'country': 'US', 'display_address': ['13601 S Cicero Ave', 'Crestwood, IL 60445'], 'address3': '', 'address1': '13601 S Cicero Ave', 'address2': None, 'city': 'Crestwood'}",Popeyes Louisiana Kitchen,+17086290026,$,1.5,45,['delivery'],https://www.yelp.com/biz/popeyes-louisiana-kitchen-crestwood?adjust_creative=dW4zIQkrq-ERae-qzQFP8g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dW4zIQkrq-ERae-qzQFP8g
27,original-maxwell-street-south-inc-robbins,"[{'alias': 'hotdogs', 'title': 'Fast Food'}]","{'longitude': -87.7182237, 'latitude': 41.6471506}",(708) 293-8901,159.79597322963625,xzRyv3JgIQdlbb6QTKL5Ow,https://s3-media1.fl.yelpcdn.com/bphoto/XAGKE6_iy6WR1OxpnL7oHQ/o.jpg,False,"{'zip_code': '60445', 'state': 'IL', 'country': 'US', 'display_address': ['13501 S Pulaski Rd', 'Robbins, IL 60445'], 'address3': '', 'address1': '13501 S Pulaski Rd', 'address2': '', 'city': 'Robbins'}",Original Maxwell Street South Inc,+17082938901,,3.0,4,[],https://www.yelp.com/biz/original-maxwell-street-south-inc-robbins?adjust_creative=dW4zIQkrq-ERae-qzQFP8g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dW4zIQkrq-ERae-qzQFP8g
28,city-of-chicago-riverdale,"[{'alias': 'localflavor', 'title': 'Local Flavor'}]","{'longitude': -87.62067, 'latitude': 41.64704}",,153.65684032136093,ri6TZh4N3Kf0wa-qe0uR5g,,False,"{'zip_code': '60827', 'state': 'IL', 'country': 'US', 'display_address': ['Riverdale, IL 60827'], 'address3': '', 'address1': '', 'address2': '', 'city': 'Riverdale'}",City of Chicago,,,5.0,1,[],https://www.yelp.com/biz/city-of-chicago-riverdale?adjust_creative=dW4zIQkrq-ERae-qzQFP8g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dW4zIQkrq-ERae-qzQFP8g
29,oak-hills-country-club-and-pro-shop-palos-heights,"[{'alias': 'golf', 'title': 'Golf'}]","{'longitude': -87.806695, 'latitude': 41.648687}",(708) 448-5544,42.25778921011913,3GMBmb6Rk6-dhwwF0mFkjA,https://s3-media3.fl.yelpcdn.com/bphoto/fEwCfmiKmRn5DGXzERoIPQ/o.jpg,False,"{'zip_code': '60463', 'state': 'IL', 'country': 'US', 'display_address': ['13200 S 76th Ave', 'Palos Heights, IL 60463'], 'address3': '', 'address1': '13200 S 76th Ave', 'address2': '', 'city': 'Palos Heights'}",Oak Hills Country Club & Pro Shop,+17084485544,,5.0,2,[],https://www.yelp.com/biz/oak-hills-country-club-and-pro-shop-palos-heights?adjust_creative=dW4zIQkrq-ERae-qzQFP8g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dW4zIQkrq-ERae-qzQFP8g
30,zacharys-palos-heights,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'bars', 'title': 'Bars'}]","{'longitude': -87.77646, 'latitude': 41.64773}",(708) 385-8814,160.03739085358356,aKO4TiEkeVMMqWbc1kJHvQ,https://s3-media2.fl.yelpcdn.com/bphoto/QcxngQ62g4-nUGSvXJlSzQ/o.jpg,False,"{'zip_code': '60463', 'state': 'IL', 'country': 'US', 'display_address': ['13415 S Ridgeland Ave', 'Palos Heights, IL 60463'], 'address3': '', 'address1': '13415 S Ridgeland Ave', 'address2': '', 'city': 'Palos Heights'}",Zachary's Grill,+17083858814,$$$,4.0,87,"['delivery', 'pickup']",https://www.yelp.com/biz/zacharys-palos-heights?adjust_creative=dW4zIQkrq-ERae-qzQFP8g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dW4zIQkrq-ERae-qzQFP8g
